CLASS_ID,course_id,section,course_name,location,faculty,Attributes,Seats
1,EGC220,1,Digital Logic Fundamentals,WH 221,Damodaran Radhakrishnan,Critical Thinking Introductory,20
4,EGC221,1,Digital Logic Lab,WH221,Kerry Ford,,20
